"Index","A","B","C"
02/08/2019,39.038979,14.091227,10.470717
05/08/2019,37.761272,13.976862,10.20419
06/08/2019,38.340374,14.017709,10.308897
07/08/2019,38.542603,13.870669,10.251784
08/08/2019,39.388275,13.895177,10.337453
09/08/2019,38.974632,13.895177,10.251784
12/08/2019,38.496643,13.862501,10.166114
13/08/2019,39.241203,13.887008,10.223227
14/08/2019,38.046227,13.823371,10.03285
15/08/2019,38.119762,13.782104,10.061406
16/08/2019,38.698864,13.806865,10.185152
19/08/2019,39.121708,13.872888,10.242265
20/08/2019,38.901093,13.988424,10.147076
21/08/2019,39.369896,14.004931,10.156596
22/08/2019,39.296356,13.889391,10.194671
23/08/2019,38.138149,13.930656,10.070927
26/08/2019,38.625332,13.91415,10.109
27/08/2019,38.533405,13.930656,10.051889
28/08/2019,38.662102,13.823371,10.099482
29/08/2019,39.323933,13.806865,10.20419
30/08/2019,39.075745,13.922404,10.251784
03/09/2019,38.662102,13.897644,10.185152
04/09/2019,39.094128,14.161732,10.261302
05/09/2019,39.792732,14.194743,10.375527
06/09/2019,39.737576,14.087459,10.451678
09/09/2019,39.443428,14.145228,10.489756
10/09/2019,39.287167,14.087459,10.52783
11/09/2019,39.544544,14.112218,10.632537
12/09/2019,39.755962,14.252514,10.661093
13/09/2019,39.664043,14.458832,10.680131
16/09/2019,39.599697,14.51125,10.632537
17/09/2019,39.746773,14.51125,10.632537
18/09/2019,39.728386,14.527922,10.670612
19/09/2019,39.829502,14.602935,10.603982
20/09/2019,39.572121,14.66962,10.623017
23/09/2019,39.544544,14.119506,10.575424
24/09/2019,39.112511,14.21119,10.565907
25/09/2019,39.471004,14.277871,10.584943
26/09/2019,39.406662,14.286207,10.565907
27/09/2019,38.901093,14.152844,10.584943
30/09/2019,39.19524,14.411229,10.661093
01/10/2019,38.809174,14.283246,10.537348
02/10/2019,38.174915,14.028944,10.451678
03/10/2019,38.652905,14.418875,10.499272
04/10/2019,39.204437,14.334105,10.594462
07/10/2019,38.993015,14.32563,10.518312
08/10/2019,38.340374,14.342584,10.442161
09/10/2019,38.76321,14.393443,10.518312
10/10/2019,38.983822,14.393443,10.537348
11/10/2019,39.461815,14.530441,10.603982
14/10/2019,39.461815,14.316383,10.537348
15/10/2019,39.958191,14.313812,10.575424
16/10/2019,39.755962,14.222196,10.565907
17/10/2019,39.912228,14.13657,10.575424
18/10/2019,39.553734,14.093757,10.584943
21/10/2019,39.801922,13.973885,10.68965
22/10/2019,39.397469,14.205071,10.710783
23/10/2019,39.526157,14.128009,10.739601
24/10/2019,39.903034,14.128009,10.710783
25/10/2019,40.04092,14.102323,10.739601
28/10/2019,40.426987,14.008135,10.787632
29/10/2019,40.270721,13.965322,10.806844
30/10/2019,40.472946,13.973885,10.778027
31/10/2019,40.362644,13.973885,10.749207
01/11/2019,40.776291,14.033819,10.835662
04/11/2019,40.90498,14.187944,10.912511
05/11/2019,40.86821,14.128009,10.979754
06/11/2019,40.86821,14.102323,11.046996
07/11/2019,41.006092,14.059509,11.066208
08/11/2019,41.208321,13.991011,11.008573
11/11/2019,41.162357,13.956758,11.008573
12/11/2019,41.272663,13.922511,11.03739
13/11/2019,41.318626,13.948198,11.027783
14/11/2019,41.382969,13.939543,10.931723
15/11/2019,41.778233,13.913585,10.970147
18/11/2019,41.787422,13.887627,10.998965
19/11/2019,41.870152,13.89628,10.94133
20/11/2019,41.778233,13.861669,10.931723
21/11/2019,41.640347,13.844364,10.902904
22/11/2019,41.695503,13.835712,10.979754
25/11/2019,42.136723,13.844364,10.998965
26/11/2019,42.219452,13.922239,10.979754
27/11/2019,42.476833,13.930891,11.008573
29/11/2019,42.292988,13.922239,10.960541
02/12/2019,41.796616,13.904934,11.008573
03/12/2019,41.631157,13.913585,10.998965
04/12/2019,41.815002,13.948198,11.056603
05/12/2019,41.900002,13.956848,11.066208
06/12/2019,42.25,14.07799,11.18148
09/12/2019,42.080002,14.103947,11.075814
10/12/2019,42.07,14.008769,11.075814
11/12/2019,42.290001,14.095293,11.152661
12/12/2019,42.540001,14.086642,11.210299
13/12/2019,42.639999,14.052031,11.143058
16/12/2019,43.009998,13.999565,11.219907
17/12/2019,43.040001,14.043286,11.229511
18/12/2019,43.07,14.121984,11.191088
19/12/2019,43.310001,14.069518,11.210299
20/12/2019,43.48,14.095754,11.267935
23/12/2019,43.540001,14.148217,11.315965
24/12/2019,43.529999,14.156963,11.287148
26/12/2019,43.869999,14.209428,11.335179
27/12/2019,43.860001,14.253148,11.344785
30/12/2019,43.540001,14.253148,11.277542
31/12/2019,43.619999,14.270635,11.325573
02/01/2020,44.209999,14.305614,11.325573
03/01/2020,43.93,14.331845,11.248723
06/01/2020,44.189999,14.480499,11.248723
07/01/2020,44.16,14.550453,11.287148
08/01/2020,44.400002,14.611663,11.315965
09/01/2020,44.73,14.681617,11.412027
10/01/2020,44.669998,14.786548,11.373603
13/01/2020,45.09,14.873993,11.383208
14/01/2020,44.990002,14.891481,11.402421
15/01/2020,45.029999,14.873993,11.392815
16/01/2020,45.41,15.033072,11.450451
17/01/2020,45.630001,14.988882,11.460057
21/01/2020,45.669998,14.953532,11.491062
22/01/2020,45.720001,15.015392,11.461995
23/01/2020,45.740002,15.04191,11.452307
24/01/2020,45.290001,15.04191,11.365105
27/01/2020,44.509998,14.873991,11.239151
28/01/2020,45.130001,14.741424,11.287595
29/01/2020,45.259998,14.794453,11.32635
30/01/2020,45.439999,14.803288,11.306973
31/01/2020,44.619999,14.838639,11.06475
03/02/2020,45.060001,14.931436,11.122883
04/02/2020,45.889999,14.927018,11.239151
05/02/2020,46.110001,15.04191,11.355417
06/02/2020,46.419998,15.086098,11.394173
07/02/2020,46.220001,15.112612,11.33604
10/02/2020,46.720001,15.183313,11.33604
11/02/2020,46.779999,15.176244,11.384484
12/02/2020,47.18,15.200992,11.42324
13/02/2020,47.119999,14.977709,11.394173
14/02/2020,47.360001,14.995571,11.365105
18/02/2020,47.240002,14.915189,11.316663
19/02/2020,47.57,15.040226,11.32635
20/02/2020,47.25,15.111678,11.297283
21/02/2020,46.540001,15.129541,11.268218
24/02/2020,44.82,14.78122,11.016305
25/02/2020,43.5,14.486488,10.667503
26/02/2020,43.450001,14.522215,10.69657
27/02/2020,41.57,13.986341,10.221813
28/02/2020,41.529999,13.664814,9.911768
02/03/2020,43.41,14.147101,10.33808
03/03/2020,42.119999,14.220339,10.231503
04/03/2020,44.049999,14.602596,10.628749
05/03/2020,42.599998,14.361451,10.279946
06/03/2020,41.900002,14.191759,10.15399
09/03/2020,39.060001,13.334358,9.524211
10/03/2020,41.110001,13.298634,9.737367
11/03/2020,39.299999,12.64665,9.136655
12/03/2020,35.73,11.271239,8.148383
13/03/2020,39.040001,11.744596,8.81692
16/03/2020,34.369999,10.277655,8.167763
17/03/2020,36.43,10.331985,8.429361
18/03/2020,34.91,8.729213,7.479848
19/03/2020,35.330002,9.888278,7.944917
20/03/2020,33.75,10.105604,7.90616
23/03/2020,33.16,8.665828,7.528293
24/03/2020,36,9.480795,8.225895
25/03/2020,36.18,10.540255,8.778164
26/03/2020,38.439999,11.291836,9.107587
27/03/2020,37.09,10.920573,8.89443
30/03/2020,38.450001,11.002069,8.99132
31/03/2020,37.970001,11.246558,8.913809
01/04/2020,36.490002,10.612697,8.448742
02/04/2020,37.25,10.784745,8.690964
03/04/2020,36.68,10.567419,8.458428
06/04/2020,39.279999,11.056399,8.855676
07/04/2020,39.009998,11.291836,9.010697
08/04/2020,40.099998,11.572546,9.243232
09/04/2020,40.259998,12.007196,9.514522
13/04/2020,40.32,11.998141,9.243232
14/04/2020,41.900002,12.179244,9.495145
15/04/2020,41.220001,11.885548,9.291677
16/04/2020,41.959999,11.701987,9.243232
17/04/2020,42.580002,11.977329,9.427321
20/04/2020,42.009998,11.628564,9.26261
21/04/2020,40.540001,11.344045,9.049454
22/04/2020,41.77,11.55514,9.217942
23/04/2020,41.689999,11.628564,9.227739
24/04/2020,42.41,11.711166,9.217942
27/04/2020,42.779999,11.83048,9.335493
28/04/2020,42.139999,11.825891,9.39427
29/04/2020,43.439999,12.16089,9.560801
30/04/2020,43.299999,12.225135,9.46284
