Symbol,Name,Mean,Stdev,DRH,DLR,DHC,DEI,DRE,DX,DEA,EGP,EFC,EARN,ESRT,EPR,EQIX,EQC,ELS,EQR,EPRT,ESS,XAN,EXR,FPI,FRT,FR,FCPT,FSP,GLPI,GEO,GTY,GOOD,LAND,GMRE,GNL,SELF,GPMT,AJX,HASI,HR,HTA,PEAK,HT,HIW,HMG,HST,HPP
ESRT,"Empire State Realty Trust, Inc. Class A",-0.0035547126347635787,0.06975054119848574,0.7917753578186645,0.31081521630550113,0.758967356534854,0.8142665724098382,0.5746246841438677,0.48642881887121403,0.4643724176750809,0.6444642717530551,0.5142079245615117,0.5223474900553368,1,0.7173995802515157,0.2920865780339204,0.4664817034889592,0.5829780098745374,0.773093462777475,0.7279768584574476,0.6959377213291649,0.5780784053710214,0.5658717228364486,0.4761589633096057,0.8318725518002561,0.6638405253546424,0.6870796132613927,0.6780229567402007,0.6115653244858714,0.585504097880385,0.6924858604120172,0.6454411950846125,0.5164817839443516,0.6098914863480286,0.7442924954824468,0.26554197748903,0.6040235524146628,0.6312939481858506,0.5749639456814979,0.6187358851293432,0.6130714502412418,0.6934803699123984,0.7481746624158538,0.8255651247790092,-0.04029578197516186,0.766218156533467,0.8191112087564536
EPR,EPR Properties,-0.005669486491572341,0.11498323114814331,0.8764130405118244,0.21083619338563758,0.8019615156877238,0.8109368699743753,0.6265285361743864,0.5555338765174791,0.3669277421975337,0.7225939549353751,0.6281834836167804,0.6932455006442476,0.7173995802515157,1,0.3381631430245189,0.44028054965157487,0.7106675723256911,0.7096904170094374,0.8132914917796922,0.7416069035805308,0.6261017223379253,0.6364892089376202,0.320792533098737,0.8032702160664641,0.7281064784985087,0.8237139549516181,0.7292745875861664,0.8435229652476622,0.5103129129764078,0.8492484400558398,0.8424766388805278,0.6084438399998199,0.6816391716729752,0.80541751967742,0.4740357732226219,0.759731979262675,0.7679731053763211,0.7250566944637007,0.686034387086485,0.726084909806337,0.7917473521567362,0.8965268775056908,0.8369578974834743,-0.04693549863381745,0.6933227187536005,0.849567904529293
EQIX,"Equinix, Inc.",0.007089517399604403,0.043066086055995455,0.2970955506333471,0.8104770454643715,0.30402676624452785,0.5391330229172191,0.7321423895771109,0.12954362941403122,0.4458848748603048,0.629323923855708,0.3339624908777159,0.433391257078222,0.2920865780339204,0.3381631430245189,1,0.43264518453290907,0.7435611403985696,0.5875511420749319,0.3427279531308946,0.5995919506966343,0.2744322442058612,0.6035656116339058,0.1519690472087543,0.3898950069278805,0.6888284744271806,0.5444713339426877,0.2792332424279509,0.5802379074375971,0.3129135094270639,0.49028798278278096,0.5563419099521226,0.30369007929009045,0.38114859173692395,0.3766594130852251,0.3872382692327892,0.394776927585103,0.36946913902310635,0.5148762212813388,0.6279458918781401,0.647298082450474,0.5699496887910755,0.33296329315625517,0.5456612388639123,-0.17757321184706162,0.21526527819142546,0.5241233503669227
EQC,Equity Commonwealth,0.0015035047313226297,0.02118106824720828,0.5112356377304437,0.39500932938318334,0.4556261687319743,0.5832319286698447,0.6010221025461003,0.2463943037292276,0.5222106770770406,0.5851282785607372,0.15652540162481587,0.2520382578530219,0.4664817034889592,0.44028054965157487,0.43264518453290907,1,0.5286023281232026,0.534198386572215,0.350719040266257,0.525118250467591,0.09732230917230976,0.58087093108117,0.23816833766583864,0.3647827471702339,0.6309571976908394,0.43895032419849755,0.5636383129140162,0.4164221947964625,0.3674925642632091,0.5373085534793736,0.5213465295250711,0.45461042889515857,0.4144776907041215,0.43080031962927895,0.24391552375344103,0.21388087455659932,0.2433016208092873,0.34951290027179105,0.4224039965520254,0.472723792394239,0.4811205738942641,0.38531455520879637,0.5650674582877911,0.09927663602928564,0.43312992962401464,0.5785857379954387
ELS,"Equity LifeStyle Properties, Inc.",0.0031469226994140912,0.050776716881011624,0.6185008984616154,0.605226130814599,0.6551453853929644,0.8108911313721991,0.8769552500659807,0.5134442463897283,0.534792690548159,0.8677047058261164,0.6865734769193417,0.7616479679910462,0.5829780098745374,0.7106675723256911,0.7435611403985696,0.5286023281232026,1,0.8279931986892857,0.7201181940372005,0.8695402136752708,0.6438011857210456,0.749503722544775,0.307596752513274,0.7342221535348757,0.8796874156438412,0.8871613633963844,0.6386221529113343,0.865058873477222,0.5114414822629242,0.8332742539859654,0.8225871002979834,0.5234862251289677,0.7117114985141554,0.7351503986590626,0.5172656470750323,0.7516455035423658,0.7634696097372763,0.7866890203519329,0.8955999748806642,0.910014716930508,0.8685303260913498,0.7022763176717395,0.8383520364239951,-0.09778030754274142,0.5050543456428316,0.7797926817376282
EQR,Equity Residential,-1.4072918891281752e-4,0.05752678413765408,0.7085628119675071,0.5320107178711022,0.7425241215918491,0.8926601033742328,0.8031150836052784,0.5353116891557221,0.48819313055584507,0.8060489339468979,0.7177566861623398,0.7360843118975202,0.773093462777475,0.7096904170094374,0.5875511420749319,0.534198386572215,0.8279931986892857,1,0.7472639823430589,0.9487275283371297,0.7459682204670803,0.6859539843320434,0.36255213336207603,0.8481990512786534,0.809824728215864,0.8367701804053881,0.6763540046727059,0.7464381696611799,0.5504683413834063,0.785181665408761,0.7426848687843324,0.45158214328415686,0.7179033844499533,0.7719362374127211,0.42153471466404485,0.7775390253910667,0.7928361164754202,0.7002351257193665,0.8444788006753564,0.8097162704256741,0.8805873355220523,0.7688635990723564,0.8871353236149544,-0.04407645342566274,0.7350439668585492,0.8520532997363801
EPRT,"Essential Properties Realty Trust, Inc.",0.004939636138927018,0.08609850823159074,0.769241470618497,0.27206134750968985,0.837852210243204,0.764361524115462,0.6685449504861333,0.6721250276382579,0.41166716379361434,0.76565911718523,0.7148602994475942,0.7344762989557021,0.7279768584574476,0.8132914917796922,0.3427279531308946,0.350719040266257,0.7201181940372005,0.7472639823430589,1,0.7350284983846873,0.748057836629156,0.6350967521032044,0.3404610157913962,0.8502713400399714,0.7200605168526468,0.8587126336620924,0.7156721173549724,0.7945714684968466,0.5655585037438056,0.8217817529109877,0.7957149313492567,0.535113452393684,0.7545147504277012,0.878589717469784,0.4261612901347033,0.8252097855754655,0.8205781088581612,0.6906565026023939,0.7440201487110332,0.7448735684185258,0.8308469542281166,0.8441910984393827,0.8212545059756254,-0.07437053261961683,0.7192965078052382,0.7770171700519598
ESS,"Essex Property Trust, Inc.",5.720009099108073e-4,0.05981325215913022,0.6919302945764332,0.5278824529652533,0.7243919428668917,0.8828064969633627,0.8387123509448118,0.5486778747671959,0.43005765982543726,0.8389563688602937,0.7526495428264491,0.7872579831587397,0.6959377213291649,0.7416069035805308,0.5995919506966343,0.525118250467591,0.8695402136752708,0.9487275283371297,0.7350284983846873,1,0.7541799067968307,0.6737778725640968,0.32100389792667616,0.8206105776347065,0.8318465527104757,0.8759153976714512,0.6853956084695204,0.8109900929351985,0.5152738848027287,0.8171524921712165,0.7787458959891694,0.4352389946205015,0.7244911734001878,0.747111066791285,0.4848958687860802,0.8233555991806822,0.8311361779300347,0.7485143088316153,0.8567998333050304,0.8441642645560521,0.8855827500559212,0.778344463415759,0.8679377212874435,-0.03347243941728562,0.6721896964030193,0.829338982893506
XAN,Exantas Capital Corp.,-0.007834372224901071,0.1923591694865986,0.5771914265223906,0.24126870368961387,0.6650319678177573,0.6629540678860877,0.5547522817323964,0.6868993778506336,0.3047281165943732,0.6253435247327683,0.929520548004657,0.8670903863347769,0.5780784053710214,0.6261017223379253,0.2744322442058612,0.09732230917230976,0.6438011857210456,0.7459682204670803,0.748057836629156,0.7541799067968307,1,0.3633153125826725,0.3062459574630293,0.7755579399800935,0.5836440525271859,0.7810630405692653,0.5615545072366139,0.6382504224766511,0.5088046336982968,0.647371964018421,0.5810086017921406,0.35375203416030815,0.663612963102928,0.7117223160298733,0.3742872000795546,0.8730234235680917,0.9056084552437631,0.6869819232815834,0.7277476763951057,0.6854510701646906,0.779450930162787,0.7481484523174913,0.6902948342351798,-0.008306223760397621,0.660885658887162,0.6079226166093252
EXR,Extra Space Storage Inc.,0.0033236232896345047,0.046083933755627554,0.6238776237405433,0.5271526486108542,0.6758793075523933,0.7587763997850818,0.7377770331118555,0.32717581564051734,0.548822151491715,0.7962400985463178,0.4129779352330861,0.4978078329237891,0.5658717228364486,0.6364892089376202,0.6035656116339058,0.58087093108117,0.749503722544775,0.6859539843320434,0.6350967521032044,0.6737778725640968,0.3633153125826725,1,0.2929359763571402,0.6610029397628768,0.7701885820827673,0.7282784400573703,0.6853595214954579,0.7211684399970839,0.48321509331031903,0.7089348829088513,0.7408169936801255,0.5375412825753327,0.5710011130314562,0.6352014138672704,0.37884824641184506,0.5330995379126616,0.49268231541455454,0.5522419045576393,0.6915392185410366,0.7314045043161773,0.7264061785637277,0.6134442033370777,0.7674134157962581,-0.03981638173497494,0.45350455543257856,0.7847975865191643
